htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
mdp.39076002660327	Adventures in our street / written and illustrated by Gertrude A. Kay. 	Kay, Gertrude A. 1884-1939.	1925-00-00	1	7081728	25016132		https://catalog.hathitrust.org/Record/009930243	https://hdl.handle.net/2027/mdp.39076002660327
hvd.32044015457534	The adventures of Jimmie Dale, by Frank L. Packard 	Packard, Frank L. 1877-1942.	1917-00-00	1	1816160	17005814		https://catalog.hathitrust.org/Record/007646072	https://hdl.handle.net/2027/hvd.32044015457534
mcg.ark:/13960/t6ww91422	Adventures of Matty Marvelous. 		1857-00-00	1	61610695			https://catalog.hathitrust.org/Record/100182825	https://hdl.handle.net/2027/mcg.ark:/13960/t6ww91422
hvd.tz1rc9	The adventures of Thomas Pellow, of Penryn, mariner : three and twenty years in captivity among the Moors / written by himself ; and edited with an introd. and notes by Dr. Robert Brown. 	Pellow, Thomas, b. 1704.	1890-00-00	1	3732348	06019826		https://catalog.hathitrust.org/Record/001376452	https://hdl.handle.net/2027/hvd.tz1rc9
mdp.39076002631070	Airplane boys at Platinum River / by E.J. Craine. 	Craine, E. J. b. 1881.	1931-00-00	1	3373213			https://catalog.hathitrust.org/Record/009930416	https://hdl.handle.net/2027/mdp.39076002631070
coo1.ark:/13960/t3bz6r994	The American family Robinson; or, The adventures of a family lost in the great desert of the West. By D.W. Belisle. 	Belisle, D. W.	1853-00-00	1	4528302			https://catalog.hathitrust.org/Record/007652207	https://hdl.handle.net/2027/coo1.ark:/13960/t3bz6r994
loc.ark:/13960/t9v12dh2s	American heroes and heroines, by Pauline Carrington Bouvé ... 	Bouvé, Pauline Carrington Rust, Mrs.	1905-00-00	1	2135564	05021474		https://catalog.hathitrust.org/Record/009580615	https://hdl.handle.net/2027/loc.ark:/13960/t9v12dh2s
hvd.hnfjby	American illustrated magazine. v.62 (1906)		1906-00-00	1	6407686			https://catalog.hathitrust.org/Record/100501438	https://hdl.handle.net/2027/hvd.hnfjby
umn.31951001003697p	The American Revolution in drawings and prints; a checklist of 1765-1790 graphics in the Library of Congress. Compiled by Donald H. Cresswell, with a foreword by Sinclair H. Hitchings. 	Library of Congress.	1975-00-00	1	730766	73017405	9780844401027,0844401021	https://catalog.hathitrust.org/Record/000010558	https://hdl.handle.net/2027/umn.31951001003697p
coo1.ark:/13960/t2794qh30	An Antarctic mystery / by Jules Verne ; translated by Mrs. Cashel Hoey. 	Verne, Jules, 1828-1905.	1899-00-00	1	1626477			https://catalog.hathitrust.org/Record/000023899	https://hdl.handle.net/2027/coo1.ark:/13960/t2794qh30
