htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	date	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
hvd.32044054766902	1	pd	57491	v.01 (1840/1841)	HVD	"990001450580203941,000145058"	4074963			5014344	The Dial  v.01 (1840/18	"Weeks, Jordan, and Co., 1840-1844]"	bib	2012-10-03 04:44:26	0	1841	mau	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/57491	https://hdl.handle.net/2027/hvd.32044054766902
hvd.32044054766894	1	pd	57491	v.02 (1841/1842)	HVD	"990001450580203941,000145058"	4074963			5014344	The Dial  v.02 (1841/18	"Weeks, Jordan, and Co., 1840-1844]"	bib	2012-10-03 04:44:32	0	1842	mau	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/57491	https://hdl.handle.net/2027/hvd.32044054766894
hvd.32044054766886	1	pd	57491	v.03 (1842/1843)	HVD	"990001450580203941,000145058"	4074963			5014344	The Dial  v.03 (1842/18	"Weeks, Jordan, and Co., 1840-1844]"	bib	2012-10-03 04:44:50	0	1843	mau	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/57491	https://hdl.handle.net/2027/hvd.32044054766886
hvd.32044054766878	1	pd	57491	v.04 (1843/1844)	HVD	"990001450580203941,000145058"	4074963			5014344	The Dial  v.04 (1843/18	"Weeks, Jordan, and Co., 1840-1844]"	bib	2012-10-03 04:42:35	0	1844	mau	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/57491	https://hdl.handle.net/2027/hvd.32044054766878
uc1.b4705177	1	pd	52812	v.05 (1884-85)	UC	b10064935x	1566573		21594643	4012669	The Dial  v.05 (1884-85	"Jansen, McClurg, 1880-1929."	bib	2014-10-18 03:30:16	0	1885	nyu	eng	SE	NRLF	universityofcalifornia	universityofcalifornia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uc1.b4705177
hvd.32044089408439	1	pd	52812	v.06 (1885-86)	HVD	1538201	1566573		21594643	4012669	The Dial  v.06 (1885-86	"Jansen, McClurg, 1880-1929."	bib	2014-10-08 03:26:52	0	1886	nyu	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/hvd.32044089408439
hvd.32044089408447	1	pd	52812	v.07(1886-87)	HVD	1538201	1566573		21594643	4012669	The Dial  v.07(1886-87)	"Jansen, McClurg, 1880-1929."	bib	2014-10-08 03:26:52	0	1887	nyu	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/hvd.32044089408447
mdp.39015030979556	1	pd	52812	v.08 1887-1888 May-Apr	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.08 1887-188	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:46:27	0	1888	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015030979556
mdp.39015030979564	1	pd	52812	v.09 1888-1889 May-Apr	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.09 1888-1889	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:46:15	0	1889	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015030979564
hvd.32044089408371	1	pd	52812	v.10 (1889-90)	HVD	1538201	1566573		21594643	4012669	The Dial  v.10 (1889-90	"Jansen, McClurg, 1880-1929."	bib	2014-10-08 03:26:52	0	1890	nyu	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/hvd.32044089408371
hvd.32044089408389	1	pd	52812	v.11 (1890-91)	HVD	1538201	1566573		21594643	4012669	The Dial  v.11 (1890-91	"Jansen, McClurg, 1880-1929."	bib	2014-10-08 03:26:52	0	1891	nyu	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/hvd.32044089408389
hvd.32044089408397	1	pd	52812	v.12 (1891-92)	HVD	1538201	1566573		21594643	4012669	The Dial  v.12 (1891-92	"Jansen, McClurg, 1880-1929."	bib	2014-10-08 03:26:52	0	1892	nyu	eng	SE	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/hvd.32044089408397
uc1.b4705185	1	pd	52812	v.13 (1892-93)	UC	b10064935x	1566573		21594643	4012669	The Dial  v.13 (1892-93	"Jansen, McClurg, 1880-1929."	bib	2012-02-05 19:30:06	0	1893	nyu	eng	SE	NRLF	universityofcalifornia	universityofcalifornia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uc1.b4705185
mdp.39015030979598	1	pd	52812	v.14 1893 Jan-Jun	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.14 1893 Jan	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:37:43	0	1893	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015030979598
mdp.39015030979606	1	pd	52812	v.15 1893 Jul-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.15 1893 Jul	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:44:53	0	1893	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015030979606
pst.000020201012	1	pd	52812	v.16 Jan.-June 1894	PST	a1293421	1566573		21594643	4012669	The Dial  v.16 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1894	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201012
mdp.39015030979614	1	pd	52812	v.17 1894 Jul-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.17 1894 Jul	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:45:21	0	1894	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015030979614
pst.000020201036	1	pd	52812	v.18 Jan.-June 1895	PST	a1293421	1566573		21594643	4012669	The Dial  v.18 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1895	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201036
chi.78013499	1	pd	52812	v.19 Jul-Dec 1895	CHI	1687937	1566573		21594643	4012669	The Dial  v.19 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1895	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013499
pst.000020201043	1	pd	52812	v.20 Jan.-June 1896	PST	a1293421	1566573		21594643	4012669	The Dial  v.20 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-11-21 03:40:12	0	1896	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201043
pst.000020201050	1	pd	52812	v.21 July-Dec.1896	PST	a1293421	1566573		21594643	4012669	The Dial  v.21 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2013-11-21 03:40:12	0	1896	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201050
chi.78013526	1	pd	52812	v.22 Jan-Jun 1897	CHI	1687937	1566573		21594643	4012669	The Dial  v.22 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2015-04-17 03:25:15	0	1897	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013526
chi.78013533	1	pd	52812	v.23 Jul-Dec 1897	CHI	1687937	1566573		21594643	4012669	The Dial  v.23 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-13 19:30:05	0	1897	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013533
pst.000020201081	1	pd	52812	v.24 Jan.-June 1898	PST	a1293421	1566573		21594643	4012669	The Dial  v.24 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1898	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201081
chi.78013540	1	pd	52812	v.25 Jul-Dec 1898	CHI	1687937	1566573		21594643	4012669	The Dial  v.25 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2015-04-17 03:25:15	0	1898	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013540
inu.32000000678567	1	pd	52812	v.26 1899	INU	3935797	1566573		21594643	4012669	The Dial  v.26 1899	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:44:28	0	1899	nyu	eng	SE	INU	iu	iu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/inu.32000000678567
chi.78013557	1	pd	52812	v.27 Jul-Dec 1899	CHI	1687937	1566573		21594643	4012669	The Dial  v.27 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1899	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013557
inu.32000000678534	1	pd	52812	v.28 1900	INU	3935797	1566573		21594643	4012669	The Dial  v.28 1900	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:43:27	0	1900	nyu	eng	SE	INU	iu	iu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/inu.32000000678534
chi.19171245	1	pd	52812	v.29 Jul-Dec 1900	CHI	1687937	1566573		21594643	4012669	The Dial  v.29 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2015-04-16 03:26:13	0	1900	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.19171245
pst.000020201135	1	pd	52812	v.30 Jan.-June 1901	PST	a1293421	1566573		21594643	4012669	The Dial  v.30 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1901	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201135
chi.78013571	1	pd	52812	v.31 Jul-Dec 1901	CHI	1687937	1566573		21594643	4012669	The Dial  v.31 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2015-04-17 03:25:15	0	1901	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013571
pst.000020201159	1	pd	52812	v.32 Jan.-June 1902	PST	a1293421	1566573		21594643	4012669	The Dial  v.32 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1902	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201159
chi.19606141	1	pd	52812	v.33 Jul-Dec 1902	CHI	1687937	1566573		21594643	4012669	The Dial  v.33 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2015-04-16 03:26:13	0	1902	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.19606141
chi.78013595	1	pd	52812	v.34 Jan-Jun 1903	CHI	1687937	1566573		21594643	4012669	The Dial  v.34 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2015-04-17 03:25:15	0	1903	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013595
chi.78013608	1	pd	52812	v.35 Jul-Dec 1903	CHI	1687937	1566573		21594643	4012669	The Dial  v.35 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2015-04-17 03:25:15	0	1903	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013608
pst.000020201197	1	pd	52812	v.36 Jan.-June 1904	PST	a1293421	1566573		21594643	4012669	The Dial  v.36 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1904	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201197
pst.000020201203	1	pd	52812	v.37 July-Dec.1904	PST	a1293421	1566573		21594643	4012669	The Dial  v.37 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1904	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201203
chi.11920008	1	pd	52812	v.38 Jan-Jun 1905	CHI	1687937	1566573		21594643	4012669	The Dial  v.38 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2015-04-16 03:26:13	0	1905	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.11920008
chi.78013639	1	pd	52812	v.39 Jul-Dec 1905	CHI	1687937	1566573		21594643	4012669	The Dial  v.39 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1905	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013639
chi.19490627	1	pd	52812	v.40 Jan-Jun 1906	CHI	1687937	1566573		21594643	4012669	The Dial  v.40 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1906	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.19490627
pst.000020201241	1	pd	52812	v.41 July-Dec.1906	PST	a1293421	1566573		21594643	4012669	The Dial  v.41 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1906	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201241
