htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
bc.ark:/13960/t2n611c5f	"A tour around Ireland, through the sea-coast counties, in the autumn of 1835, by John Barrow ..."	"Barrow, John, 1808-1898."	1836-00-00	1	3774800	4003144		https://catalog.hathitrust.org/Record/000195224	https://hdl.handle.net/2027/bc.ark:/13960/t2n611c5f
uc2.ark:/13960/t2d796v4h	"A tour in Connaught: comprising sketches of Clonmacnoise, Joyce country, and Achill. By the author of ""Sketches in Ireland"". "	"Otway, Caesar, 1780-1842."	1839-00-00	1	2485264	4002466		https://catalog.hathitrust.org/Record/007667823	https://hdl.handle.net/2027/uc2.ark:/13960/t2d796v4h
mdp.39015008524293	A tour in Ireland in 1775.	"[Twiss, Richard] 1747-1821."	1776-00-00	1	6185587	3009087		https://catalog.hathitrust.org/Record/000198412	https://hdl.handle.net/2027/mdp.39015008524293
uc2.ark:/13960/t1pg1k466	A view of society and manners in the north of Ireland : in the summer and autumn of 1812 / by J. Gamble.	"Gamble, John, 1770-1831."	1813-00-00	1	3654335			https://catalog.hathitrust.org/Record/007659926	https://hdl.handle.net/2027/uc2.ark:/13960/t1pg1k466
hvd.hxjrr7	"A year in Europe. Comprising a journal of observations in England, Scotland, Ireland, France, Switzerland, the north of Italy, and Holland, In 1818 and 1819. By John Griscom. v.1"	"Griscom, John, 1774-1852."	1824-00-00	1	4203713			https://catalog.hathitrust.org/Record/008687138	https://hdl.handle.net/2027/hvd.hxjrr7
loc.ark:/13960/t2n59250f	"Annals of the famine in Ireland, in 1847, 1848, and 1849. By Mrs. A. Nicholson."	"Nicholson, Asenath, 1792-1855."	1851-00-00	1	3455119	4003156		https://catalog.hathitrust.org/Record/000234668	https://hdl.handle.net/2027/loc.ark:/13960/t2n59250f
bc.ark:/13960/t1rf8765d	"Arthur Young's Tour in Ireland (1776-1779) ed. with introduction and notes by Arthur Wollaston Hutton, with a bibliography by John P. Anderson."	"Young, Arthur, 1741-1820."	1892-00-00	1	317512	4016631		https://catalog.hathitrust.org/Record/008726280	https://hdl.handle.net/2027/bc.ark:/13960/t1rf8765d
loc.ark:/13960/t8w95pk4w	"Glances at Europe: in a series of letters from Great Britain, France, Italy, Switzerland, etc., during the summer of 1851. Including notices of the Great Exhibition, or World's Fair. By Horace Greeley."	"Greeley, Horace, 1811-1872."	1851-00-00	1	1306690	3010990		https://catalog.hathitrust.org/Record/000811899	https://hdl.handle.net/2027/loc.ark:/13960/t8w95pk4w
bc.ark:/13960/t20c5fv8g	Gleanings in the west of Ireland. By the Hon. &amp; Rev. S. Godolphin Osborne 	"Osborne, Sidney Godolphin, Lord, 1808-1889."	1850-00-00	1	7044492	4005063		https://catalog.hathitrust.org/Record/011718163	https://hdl.handle.net/2027/bc.ark:/13960/t20c5fv8g
nyp.33433069336430	Promenade d'un Français dans l'Irelande : orné de gravures en  taille douce / par de Latocnaye. 	"Latocnaye, de."	1797-00-00	1	12166816			https://catalog.hathitrust.org/Record/008646349	https://hdl.handle.net/2027/nyp.33433069336430
nyp.33433074788237	Remains of William S. Graham; with a memoir... ed. by George Allen. 	"Graham, William Sloan, 1818-1847."	1849-00-00	1	8208730			https://catalog.hathitrust.org/Record/008660733	https://hdl.handle.net/2027/nyp.33433074788237
hvd.32044009954363	Reminiscences of my Irish journey in 1849. By Thomas Carlyle.	"Carlyle, Thomas, 1795-1881."	1882-00-00	1	1702855			https://catalog.hathitrust.org/Record/100323389	https://hdl.handle.net/2027/hvd.32044009954363
njp.32101074353085	"Sketches of history, politics and manners, taken in Dublin, and the north of Ireland, in the autumn of 1810 ..."	"Gamble, John, d. 1831."	1811-00-00	1	34905157			https://catalog.hathitrust.org/Record/008646189	https://hdl.handle.net/2027/njp.32101074353085
mdp.39015056108817	"Sketches of some of the southern counties of Ireland, collected during a tour in the autumn, 1797. In a series of letters. By G. Holmes."	"Holmes, George, fl. 1797."	1801-00-00	1	8922440	4002261		https://catalog.hathitrust.org/Record/000198833	https://hdl.handle.net/2027/mdp.39015056108817
nyp.33433069334799	"Stranger in Ireland; or, A tour in the southern and western parts of that country in the year 1805."	"Carr, John, Sir, 1772-1832."	1806-00-00	1	11782091			https://catalog.hathitrust.org/Record/008646290	https://hdl.handle.net/2027/nyp.33433069334799
loc.ark:/13960/t7np2x87d	"The felon's track; or, History of the late attempted outbreak in Ireland: embracing the leading events in the Irish struggle, from the year 1843, to the close of 1848. By Michael Doheny."	"Doheny, Michael, 1805-1862."	1849-00-00	1	2594169	4007214		https://catalog.hathitrust.org/Record/011204677	https://hdl.handle.net/2027/loc.ark:/13960/t7np2x87d
hvd.32044081280695	"The Saxon in Ireland : or, The rambles of an Englishman in search of a settlement in the west of Ireland ; with frontispiece and map / [John Hervey Ashworth] "	"Ashworth, John Hervey, 1795-1882."	1851-00-00	1	12793345			https://catalog.hathitrust.org/Record/011613209	https://hdl.handle.net/2027/hvd.32044081280695
hvd.hn61fz	"The stranger in Ireland, or, A tour in the southern and western parts of that country in the year 1805 / by John Carr."	"Carr, John, Sir, 1772-1832."	1806-00-00	1	"40019644,4673771"			https://catalog.hathitrust.org/Record/009710275	https://hdl.handle.net/2027/hvd.hn61fz
