htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc2.ark:/13960/t47p8wx1b	A girl of Galway / Katharine Tynan.  With eight illustrations by John H. Bacon. 	"Tynan, Katharine, 1861-1931."	1902-00-00	1	3165322			https://catalog.hathitrust.org/Record/007675218	https://hdl.handle.net/2027/uc2.ark:/13960/t47p8wx1b
njp.32101067645745	"A mésalliance, by Katharine Tynan ... "	"Tynan, Katharine, 1861-1931."	1913-00-00	1	7521914	13022871		https://catalog.hathitrust.org/Record/008961947	https://hdl.handle.net/2027/njp.32101067645745
nyp.33433075727788	"A prince of Tyrone; a novel, by Charlotte Fennell ... "	"Fennell, Charlotte."	1903-00-00	1	37227481	3010034		https://catalog.hathitrust.org/Record/008668355	https://hdl.handle.net/2027/nyp.33433075727788
uc2.ark:/13960/t13n22q6f	A world of girls : the story of a school / by L.T. Meade. 	"Meade, L. T., 1854-1914."	1920-00-00	1	11684322			https://catalog.hathitrust.org/Record/007667014	https://hdl.handle.net/2027/uc2.ark:/13960/t13n22q6f
osu.32435005611645	"Adnam's orchard, by Sarah Grand. "	"Grand, Sarah."	1913-00-00	1	4271410	12028703		https://catalog.hathitrust.org/Record/100104725	https://hdl.handle.net/2027/osu.32435005611645
nyp.33433074864707	"Babs the impossible, by Sarah Grand.  Illustrated by Arthur I. Keller. "	"Grand, Sarah."	1901-00-00	1	"37238191,02485152"			https://catalog.hathitrust.org/Record/007660423	https://hdl.handle.net/2027/nyp.33433074864707
njp.32101064914334	"Bessy Conway : or, the Irish girl in America / by Mrs. J. Sadlier. "	"Sadlier, J., Mrs., 1820-1903."	1863-00-00	1	9756407			https://catalog.hathitrust.org/Record/009404882	https://hdl.handle.net/2027/njp.32101064914334
uc2.ark:/13960/t6qz2b21w	By far Euphrates : a tale / by D. Alcock. 	"Alcock, Deborah, 1835-1913."	1897-00-00	1	20139679			https://catalog.hathitrust.org/Record/007915371	https://hdl.handle.net/2027/uc2.ark:/13960/t6qz2b21w
njp.32101063582538	"Captain Shannon, by Coulson Kernahan ... "	"Kernahan, Coulson, 1858-1943."	1896-00-00	1	7548013	7010818		https://catalog.hathitrust.org/Record/008666490	https://hdl.handle.net/2027/njp.32101063582538
uc1.l0063791321	"Castle Omeragh, by F. Frankfort Moore ... "	"Moore, Frank Frankfort, 1855-1931."	1903-00-00	1	5902682	3012519		https://catalog.hathitrust.org/Record/010883354	https://hdl.handle.net/2027/uc1.l0063791321
njp.32101067178929	Castle Richmond. With an introd. by Algar Thorold. 	"Trollope, Anthony, 1815-1882."	1906-00-00	1	824760			https://catalog.hathitrust.org/Record/008956336	https://hdl.handle.net/2027/njp.32101067178929
