htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.hn63ra	"A discourse, preached at the dedication of the Second Congregational Unitarian church, New York, December 7, 1826. By William Ellery Channing."	"Channing, William Ellery, 1780-1842."	1826-00-00	1	6057101	36004388		https://catalog.hathitrust.org/Record/009718346	https://hdl.handle.net/2027/hvd.hn63ra
hvd.32044009613928	"A half-century of the Unitarian controversy : with particular reference to its origin, its course, and its prominent subjects among the Congregationalists of Massachusetts : with an appendix / by George E. Ellis. "	"Ellis, George Edward, 1814-1894."	1857-00-00	1	"22411326,2355512"	33022268	"9780790553887,0790553880,0790553880(microfiche)"	https://catalog.hathitrust.org/Record/005775930	https://hdl.handle.net/2027/hvd.32044009613928
hvd.32044048229595	"A history of the Unitarians and the Universalists in the United States, by Joseph Henry Allen and Richard Eddy "	"Allen, Joseph Henry, 1820-1898."	1894-00-00	1	1019548	4004642		https://catalog.hathitrust.org/Record/001594702	https://hdl.handle.net/2027/hvd.32044048229595
hvd.32044054764873	"A letter to the Rev. William E. Channing, on the subject of his letter to the Rev. Samuel C. Thatcher : relating to the review in the Panoplist of American Unitarianism / by Samuel Worcester. "	"Worcester, Samuel, 1770-1821"	1815-00-00	1	23536208	32031397		https://catalog.hathitrust.org/Record/002410074	https://hdl.handle.net/2027/hvd.32044054764873
hvd.ah4k44	"A plain statement and scriptural defence of the leading doctrines of Unitarianism : to which are added remarks on the canonical authority of the books of the New Testament, and a candid review of the text of the improved version, in a letter to a friend : by Robert Wallace. "	"Wallace, Robert, 1791-1850."	1819-00-00	1	31336521			https://catalog.hathitrust.org/Record/009710791	https://hdl.handle.net/2027/hvd.ah4k44
hvd.32044029834942	"A review of Unitarian views as set forth in a published report of a committee of the Conference of Western Unitarian Churches, assembled in Louisville, May 1, 1854 / by Henry M. Denison."	"Denison, Henry Mandeville, 1822-1858."	1854-00-00	1	9138422			https://catalog.hathitrust.org/Record/100567125	https://hdl.handle.net/2027/hvd.32044029834942
hvd.ah226c	A short history of Unitarianism since the Reformation by Frederick B. Mott. 	"Mott, Frederick B."	1893-00-00	1	"181923108,5734956"		"9780837088433,0837088437,0837088437(microfiche)"	https://catalog.hathitrust.org/Record/006661755	https://hdl.handle.net/2027/hvd.ah226c
hvd.ah4k3w	"A statement of the principles of Unitarian Christianity, addressed to the inhabitants of Greenock and Port-Glasgow, and to the Friends of Free Inquiry thoughout Scotland / by a Unitarian. "	Unitarian.	1816-00-00	1	31335955			https://catalog.hathitrust.org/Record/009710786	https://hdl.handle.net/2027/hvd.ah4k3w
hvd.32044011658614	A vindication of Unitarianism : in reply to the Rev. Ralph Wardlaw / by James Yates. 	"Yates, James, 1789-1871."	1850-00-00	1	5521838			https://catalog.hathitrust.org/Record/011529748	https://hdl.handle.net/2027/hvd.32044011658614
hvd.32044054764774	"American Unitarianism, or, A brief history of ""the progress and present state of the Unitarian churches in America"" / compiled from documents and information communicated by James Freeman and William Wells of Boston and from other Unitarian gentlemen in this country by Thomas Belsham. "	"Belsham, Thomas, 1750-1829."	1815-00-00	1	"15568170,12931973"	nuc87351952		https://catalog.hathitrust.org/Record/009706468	https://hdl.handle.net/2027/hvd.32044054764774
hvd.ah4k3m	"An appeal to scripture and tradition, in defence of the Unitarian faith. "	"Elton, Charles Abraham, Sir, 1778-1853."	1818-00-00	1	31336441			https://catalog.hathitrust.org/Record/009710788	https://hdl.handle.net/2027/hvd.ah4k3m
hvd.hwjn33	"An exhibition of Unitarianism : in quotations from its standard authors and works, with scriptural extracts / Edward Hitchcock. "	"Hitchcock, Edward, 1793-1864."	1830-00-00	1	2157648			https://catalog.hathitrust.org/Record/009717516	https://hdl.handle.net/2027/hvd.hwjn33
hvd.32044019079656	An historical sketch of the Unitarian movement since the Reformation / by Joseph Henry Allen. 	"Allen, Joseph Henry, 1820-1898."	1894-00-00	1	4349464	31025463		https://catalog.hathitrust.org/Record/100320671	https://hdl.handle.net/2027/hvd.32044019079656
hvd.32044054762927	"An inquiry into the comparative moral tendency of Trinitarian and Unitarian doctrines : in a series of letters to the Rev. Dr. Miller, of Princeton / by Jared Sparks. "	"Sparks, Jared, 1789-1866."	1823-00-00	1	4744796			https://catalog.hathitrust.org/Record/008633174	https://hdl.handle.net/2027/hvd.32044054762927
